0.000000000000000e+000	3.885781e-012
1.000000000000000e-003	3.885781e-012
2.000000000000000e-003	3.941292e-012
3.000000000000000e-003	4.107825e-012
4.000000000000000e-003	4.218847e-012
5.000000000000000e-003	4.274359e-012
6.000000000000000e-003	4.329870e-012
7.000000000000000e-003	4.496403e-012
8.000000000000000e-003	4.607426e-012
9.000000000000001e-003	4.662937e-012
1.000000000000000e-002	4.884981e-012
1.100000000000000e-002	4.940492e-012
1.200000000000000e-002	4.996004e-012
1.300000000000001e-002	5.218048e-012
1.400000000000001e-002	5.329071e-012
1.500000000000001e-002	5.384582e-012
1.600000000000001e-002	5.606626e-012
1.700000000000001e-002	5.717649e-012
1.800000000000001e-002	5.773160e-012
1.900000000000001e-002	5.995204e-012
2.000000000000001e-002	6.217249e-012
2.100000000000001e-002	6.328271e-012
2.200000000000001e-002	6.439294e-012
2.300000000000001e-002	6.661338e-012
2.400000000000001e-002	6.772360e-012
2.500000000000002e-002	6.994405e-012
2.600000000000002e-002	7.105427e-012
2.700000000000002e-002	7.327472e-012
2.800000000000002e-002	7.494005e-012
2.900000000000002e-002	7.716050e-012
3.000000000000002e-002	7.827072e-012
3.100000000000002e-002	8.104628e-012
3.200000000000002e-002	8.215650e-012
3.300000000000002e-002	8.493206e-012
3.400000000000002e-002	8.659740e-012
3.500000000000002e-002	8.826273e-012
3.600000000000003e-002	8.992806e-012
3.700000000000003e-002	9.270362e-012
3.800000000000003e-002	9.547918e-012
3.900000000000003e-002	9.825474e-012
4.000000000000003e-002	1.010303e-011
4.100000000000003e-002	1.032507e-011
4.200000000000003e-002	1.060263e-011
4.300000000000003e-002	1.088019e-011
4.400000000000003e-002	1.110223e-011
4.500000000000003e-002	1.137979e-011
4.600000000000003e-002	1.171285e-011
4.700000000000004e-002	1.204592e-011
4.800000000000004e-002	1.226796e-011
4.900000000000004e-002	1.260103e-011
5.000000000000004e-002	1.293410e-011
5.100000000000004e-002	1.326717e-011
5.200000000000004e-002	1.360023e-011
5.300000000000004e-002	1.398881e-011
5.400000000000004e-002	1.432188e-011
5.500000000000004e-002	1.471046e-011
5.600000000000004e-002	1.509903e-011
5.700000000000004e-002	1.543210e-011
5.800000000000005e-002	1.582068e-011
5.900000000000005e-002	1.637579e-011
6.000000000000005e-002	1.670886e-011
6.100000000000005e-002	1.709743e-011
6.200000000000005e-002	1.765255e-011
6.300000000000004e-002	1.809664e-011
6.400000000000004e-002	1.854072e-011
6.500000000000004e-002	1.898481e-011
6.600000000000005e-002	1.953993e-011
6.700000000000005e-002	1.998401e-011
6.800000000000005e-002	2.048361e-011
6.900000000000005e-002	2.109424e-011
7.000000000000005e-002	2.170486e-011
7.100000000000005e-002	2.220446e-011
7.200000000000005e-002	2.281508e-011
7.300000000000005e-002	2.331468e-011
7.400000000000005e-002	2.398082e-011
7.500000000000005e-002	2.459144e-011
7.600000000000005e-002	2.514655e-011
7.700000000000006e-002	2.592371e-011
7.800000000000006e-002	2.653433e-011
7.900000000000006e-002	2.725598e-011
8.000000000000006e-002	2.797762e-011
8.100000000000006e-002	2.869927e-011
8.200000000000006e-002	2.958744e-011
8.300000000000006e-002	3.030909e-011
8.400000000000006e-002	3.108624e-011
8.500000000000006e-002	3.191891e-011
8.600000000000006e-002	3.264056e-011
8.700000000000006e-002	3.358425e-011
8.800000000000006e-002	3.441691e-011
8.900000000000007e-002	3.541611e-011
9.000000000000007e-002	3.624878e-011
9.100000000000007e-002	3.724798e-011
9.200000000000007e-002	3.830269e-011
9.300000000000007e-002	3.930190e-011
9.400000000000007e-002	4.019007e-011
9.500000000000007e-002	4.141132e-011
9.600000000000007e-002	4.252154e-011
9.700000000000007e-002	4.352074e-011
9.800000000000007e-002	4.474199e-011
9.900000000000007e-002	4.590772e-011
1.000000000000001e-001	4.707346e-011
1.010000000000001e-001	4.835021e-011
1.020000000000001e-001	4.968248e-011
1.030000000000001e-001	5.095924e-011
1.040000000000001e-001	5.234702e-011
1.050000000000001e-001	5.373479e-011
1.060000000000001e-001	5.512257e-011
1.070000000000001e-001	5.656586e-011
1.080000000000001e-001	5.806466e-011
1.090000000000001e-001	5.956347e-011
1.100000000000001e-001	6.122880e-011
1.110000000000001e-001	6.278311e-011
1.120000000000001e-001	6.450396e-011
1.130000000000001e-001	6.622480e-011
1.140000000000001e-001	6.800116e-011
1.150000000000001e-001	6.983303e-011
1.160000000000001e-001	7.149836e-011
1.170000000000001e-001	7.349676e-011
1.180000000000001e-001	7.543965e-011
1.190000000000001e-001	7.749357e-011
1.200000000000001e-001	7.943646e-011
1.210000000000001e-001	8.165690e-011
1.220000000000001e-001	8.387735e-011
1.230000000000001e-001	8.604228e-011
1.240000000000001e-001	8.826273e-011
1.250000000000001e-001	9.070522e-011
1.260000000000001e-001	9.303669e-011
1.270000000000001e-001	9.547918e-011
1.280000000000001e-001	9.803269e-011
1.290000000000001e-001	1.006972e-010
1.300000000000001e-001	1.033618e-010
1.310000000000001e-001	1.061373e-010
1.320000000000001e-001	1.089684e-010
1.330000000000001e-001	1.118550e-010
1.340000000000001e-001	1.147971e-010
1.350000000000001e-001	1.177947e-010
1.360000000000001e-001	1.209588e-010
1.370000000000001e-001	1.241784e-010
1.380000000000001e-001	1.274536e-010
1.390000000000001e-001	1.309508e-010
1.400000000000001e-001	1.344480e-010
1.410000000000001e-001	1.380562e-010
1.420000000000001e-001	1.416645e-010
1.430000000000001e-001	1.453837e-010
1.440000000000001e-001	1.492695e-010
1.450000000000001e-001	1.532108e-010
1.460000000000001e-001	1.572076e-010
